cafeName	orderByNew	concept	nofConKatsu	WantToGo	OperatingHours	Fee	NearestStation	Area	concept_list
小悪魔lab	1	小悪魔	0.0	0.0	月 19:00 - LAST 火 19:00 - LAST 水 19:00 - LAST	5000円	池袋駅西口(北)から徒歩3分	Kanto	['小悪魔']
Maison de Chérie(メゾンドシェリー)	2	メイド	0.0	0	月 お休み 火 20:00 - 26:00 水 20:00 - 26:00	￥2420~	函館駅	Hokkaido and Tohoku	['メイド']
キャットウォーク	3	かわいい×メイド×猫耳	0.0	0	月 17:00 - 23:00 火 17:00 - 23:00 水 17:00 - 23:00	4,000円	御堂筋線 心斎橋駅から徒歩５分四ツ橋線 四ツ橋駅から徒歩３分	Kansai	['かわいい', 'メイド', '猫耳']
ロイヤルチョコレート	4	かわいい	0.0	0.0	月 18:00 - LAST 火 18:00 - LAST 水 18:00 - LAST	3,000円～	JR湘南新宿ライン・JR埼京線・JR京浜東北線 『大宮駅』 より徒歩1分	Kanto	['かわいい']
KIRSCH-キルシュ-	5	ラグジュアリー	0.0	0.0	月 19:00 - 25:00 火 19:00 - 25:00 水 19:00 - 25:00	5000円（お一人様）	JR・横浜市営地下鉄ブルーライン/関内駅	Kanto	['ラグジュアリー']
メイドシーシャあなくろ！	6	かわいい×メイド×顔ラン	0.0	1	月 21:00 - 30:00 火 21:00 - 30:00 水 21:00 - 30:00	２０分５００円〜	地下鉄南北線「すすきの駅」３番出口徒歩５分　　　地下鉄東豊線「豊水すすきの駅」徒歩１分	Hokkaido and Tohoku	['かわいい', 'メイド', '顔ラン']
DressRoll	7	お城×お姫様×ドール	0.0	1.0	月 00:00 - LAST 火 00:00 - LAST 水 00:00 - LAST	3700円〜	JR新宿駅から徒歩7分西武新宿駅から徒歩6分	Kanto	['お城', 'お姫様', 'ドール']
La Maison du Ange	8	アイドル×かわいい×コスプレ×メイド	0.0	1.0	月 18:00 - 25:00 火 18:00 - 25:00 水 18:00 - 25:00	2,500円～（1h＋1ドリンク）	JR総武線 錦糸町駅	Kanto	['アイドル', 'かわいい', 'コスプレ', 'メイド']
キミの彼女になりたい！札幌すすきの店	9		0.0	1	月 17:00 - LAST 火 17:00 - LAST 水 17:00 - LAST		地下鉄南北線 すすきの駅 徒歩1分地下鉄東豊線 豊水すすきの駅 徒歩4分	Hokkaido and Tohoku	['']
ふららぼ	10	かわいい×お花×清楚	0.0	0.0	月 19:00 - 23:30 火 19:00 - 23:30 水 19:00 - 23:30	男性　2,500円（税込 2,750円）~女性　1,500円（税込 1,650円）~	湯島駅（東京メトロ千代田線） 徒歩3分上野広小路駅（東京メトロ銀座線） 徒歩3分上野御徒町駅（都営大江戸線） 徒歩4分御徒町駅（JR山手線・京浜東北線） 徒歩5分上野駅（JR山手線・京浜東北線・高崎線・宇都宮線／東京メトロ銀座線・日比谷線） 徒歩10分	Kanto	['かわいい', 'お花', '清楚']
