concept	count	concept_Eng
メイド	386	Maid
アイドル	151	Idol
かわいい	86	Kawaii
アニソン	84	Anime song
コスプレ	72	Cosplay
猫	44	Cat
悪魔	41	Demon
アニメ	41	Anime
お姫様	37	Princess
天使	36	Angel
イケメン	33	Handsome man
男装	32	Male attire
異世界	29	Another world
妖精	29	Fairy
ゴシック	28	Gothic
サブカル	24	Subculture
魔法	24	Magic
猫耳	23	Cat ears
シーシャ	23	Shisha
ナース	23	Nurse
チャイナ	23	Chinese style
うさぎ	21	Rabbit
和風	20	Japanese style
アリス	19	Alice (in wonderland)
バニー	19	Bunny girl
美少女	19	Beautiful girl
サイバー	18	Cyber
動物	18	Animal
学園	17	Academy
ゲーム	17	Game
小悪魔	17	Little Devil
ドール	16	Doll
サキュバス	16	Succubus
制服	14	Casual Wear
私服	14	Uniform
韓国	13	Korean style
顔ラン	13	Appearance ranking
お菓子	13	Sweets
魔法少女	13	Magical girl
音楽	13	Music
王子	12	Prince
学校	12	
お人形	12	
ボードゲーム	12	Board game
オタク	12	Otaku
隠れ家	12	Hideaway
星	12	Star
カジノ	11	Cashino
ねこ	11	
JK	11	High school girl
すっぴん	11	Natural look
執事	10	Butler
シスター	10	Nun
ボーカロイド	10	Vocaloid
ゴスロリ	10	Gothic lolita
コスプレイヤー	10	
癒し	10	Healing
地雷系	10	Jirai-kei fashion
クラシカルメイド	9	Classical maid
ゆめかわいい	9	Yume-kawaii
魔界	9	Demon realm
病院	9	Hospital
宇宙	9	Space
ヴァンパイア	9	Vampire
宝石	9	Jewelry
育成型	9	Training-type
スポーツ	9	Sports
アミューズメント	8	Amusement
夢	7	Dream
女装	7	Female attire
ラグジュアリー	7	Luxury
着せ替え人形	7	Dress-up doll
アメリカン	7	American style
非日常	7	Extraordinary world
清楚	7	Pure
くま	7	Bear
居酒屋	7	Izakaya
お花	7	Flower
近未来	7	Near future
レトロ	6	Retro
お城	6	Castle
マリン	6	Marine
正統派	6	Orthodox style
個性派	6	Individualistic
個性派メイド	6	Individualistic maid
ナチュラル	6	Natural
秘密基地	6	Secret base
ロボット	6	Robot
森	6	Forest
高級感	6	High-class
ロリ	6	Lolita
月	6	Moon
ギャル	6	Gyaru
堕天使	6	Fallen angel
巫女	6	Shrine maiden
海	6	Sea
酒クズ	6	Alcoholic character
モデル	5	Model
星空	5	Starry sky
オンライン	5	Online
マーメイド	5	Mermaid
女の子の部屋	5	Girl's room
大正浪漫	5	Taisho romantic
ポリス	5	Police
女神	5	Goddess
犬	5	Dog
魔女	5	Witch
悪人	5	Villain
クラシカル	5	Classical
ステージ	5	Stage
おもちゃ箱	5	Toy box
闇	5	Darkness
妹	5	Younger sister
ロック	5	Rock
パステル	5	Pastel
海賊	4	Pirate
夜	4	Night
パンク	4	Punk
洋館	4	Western mansion
ミリタリー	4	Military
女子大生	4	Female college student
彼女	4	Girlfriend
かっこいい	4	Cool
競馬	4	Horse racing
ゴースト	4	
電脳	4	Cybernetic
V系	4	Visual-kei
貴族	4	Aristocrat
童話	4	Fairly tale
中二病	4	Chuunibyou
和装	4	Japanese attire
